Date,High,Low,Open,Close,Volume,Adj Close
2022-01-04,127500,121500,127500,123000,323862,123000
2022-01-05,122500,117000,122000,118000,392117,118000
2022-01-06,117000,112000,115500,112500,358343,112500
2022-01-07,115000,112500,113000,113000,204409,113000
2022-01-10,113000,109500,111500,111500,208350,111500
2022-01-11,113000,110000,111000,110000,149836,110000
2022-01-12,116000,111000,111000,114000,199271,114000
2022-01-13,114000,111000,113000,112500,177128,112500
2022-01-14,112000,110000,111500,110500,120886,110500
2022-01-17,112000,109000,110000,112000,148665,112000
2022-01-18,114000,108000,112000,108500,171734,108500
2022-01-19,109500,105500,107500,105500,183509,105500
2022-01-20,119000,105500,106000,116000,409378,116000
2022-01-21,120000,113000,114000,118500,382709,118500
2022-01-24,120000,116500,116500,118500,265191,118500
2022-01-25,121500,117000,117500,117500,385387,117500
2022-01-26,117500,117500,117500,117500,0,117500
2022-01-27,117000,105000,116000,108000,516339,108000
2022-01-28,112000,108000,110000,109500,272481,109500
2022-02-03,110000,100000,110000,100000,842238,100000
2022-02-04,106000,100000,100000,103500,442304,103500
2022-02-07,104000,101500,103500,103000,315133,103000
2022-02-08,103000,103000,103000,103000,0,103000
2022-02-09,103000,103000,103000,103000,0,103000
2022-02-10,105000,100500,103500,101000,331873,101000
2022-02-11,101500,97200,100000,99700,450924,99700
2022-02-14,101000,97900,97900,99700,214801,99700
2022-02-15,101500,98000,98000,98600,164054,98600
2022-02-16,103500,99600,100000,102000,230973,102000
2022-02-17,102500,99600,102000,100500,232570,100500
2022-02-18,102000,99600,99700,101000,128186,101000
2022-02-21,102000,99700,99900,101500,143456,101500
2022-02-22,101000,99100,100500,100500,171245,100500
2022-02-23,102500,100000,101000,102500,138458,102500
2022-02-24,102500,99600,101000,100000,199931,100000
2022-02-25,103500,100500,101500,102500,210640,102500
2022-02-28,102500,102500,102500,102500,0,102500
2022-03-02,104500,101500,102500,103000,138902,103000
2022-03-03,105000,103000,103500,104500,164184,104500
2022-03-04,104500,104500,104500,104500,0,104500
2022-03-07,102000,100000,100500,100000,142262,100000
2022-03-08,103500,99800,100000,101500,167785,101500
2022-03-10,101500,101500,101500,101500,0,101500
2022-03-11,109000,103500,103500,108000,256373,108000
2022-03-14,110000,105500,108500,106000,184217,106000
2022-03-15,106000,106000,106000,106000,0,106000
2022-03-16,106000,106000,106000,106000,0,106000
2022-03-17,106000,106000,106000,106000,0,106000
2022-03-18,111000,108000,109000,110000,137004,110000
2022-03-21,110000,110000,110000,110000,0,110000
2022-03-22,110500,108000,109500,109000,111066,109000
2022-03-23,114000,109000,109500,112000,211268,112000
2022-03-24,111500,109000,110500,110000,124138,110000
2022-03-25,111000,109000,110000,109500,105175,109500
2022-03-28,110500,107000,109000,110000,157011,110000
2022-03-29,112000,109000,110000,110000,124993,110000
2022-03-30,113000,110000,111500,111000,142152,111000
2022-03-31,112500,110500,111000,111500,87024,111500
2022-04-01,110500,107000,110500,108000,193323,108000
2022-04-04,110000,106500,107500,109500,103717,109500
2022-04-05,112000,109500,110000,111500,120509,111500
2022-04-06,110500,108500,110500,109500,138731,109500
2022-04-07,108500,103000,108000,104000,276227,104000
2022-04-08,104500,102500,104000,103500,148367,103500
2022-04-11,105000,102500,103500,102500,105567,102500
2022-04-12,104000,101000,102500,102500,143601,102500
2022-04-13,105000,102000,103000,104500,111452,104500
2022-04-14,105500,103000,104500,103500,130971,103500
2022-04-15,103500,101000,102500,103000,109501,103000
2022-04-18,103000,101500,102000,103000,59109,103000
2022-04-19,104000,102500,103000,103500,84748,103500
2022-04-20,103500,101500,103000,101500,95131,101500
2022-04-21,103000,101500,102500,102000,93274,102000
2022-04-22,101500,99800,101000,99900,170120,99900
2022-04-25,99300,96200,99300,96200,182605,96200
2022-04-26,99200,96000,96100,98200,125964,98200
2022-04-27,96500,93700,96300,94200,247546,94200
2022-04-28,94500,93100,94200,94400,125786,94400
2022-04-29,95600,94100,94400,95600,116238,95600
2022-05-02,94800,92000,94000,93000,190495,93000
2022-05-03,93800,92800,92900,93100,118874,93100
2022-05-04,93400,91100,93100,91500,170307,91500
2022-05-06,90500,88800,90500,88900,189774,88900
2022-05-10,88900,85200,87400,88400,226619,88400
2022-05-11,89200,87500,87500,88600,110228,88600
2022-05-12,87300,83300,87100,83900,547555,83900
2022-05-13,79600,71200,79000,72300,1215132,72300
2022-05-16,74500,72000,72000,73800,304526,73800
2022-05-17,74200,72500,73500,73800,200903,73800
2022-05-18,76700,73800,73900,76600,251800,76600
2022-05-19,80300,73800,74800,80000,364466,80000
2022-05-20,81700,79000,79900,80800,255721,80800
2022-05-23,81200,77800,79900,80800,146807,80800
2022-05-24,81600,78500,80000,78500,184265,78500
2022-05-25,82200,79300,79600,80200,289762,80200
2022-05-26,82800,79200,80400,79500,184481,79500
2022-05-27,83100,80900,81400,81800,205034,81800
2022-05-30,82700,81500,82300,82000,101167,82000
2022-05-31,83700,81500,82100,83500,269549,83500
2022-06-02,82100,79900,82100,80800,219106,80800
2022-06-03,82400,80800,81300,82300,108512,82300
2022-06-07,81800,79700,81600,80000,157925,80000
2022-06-08,82100,79300,79400,81500,132855,81500
2022-06-09,81500,79700,81000,81200,192850,81200
2022-06-10,81100,79100,79400,80900,112467,80900
2022-06-13,79200,75500,79100,75700,226023,75700
2022-06-14,75500,73200,74800,74900,251333,74900
2022-06-15,75200,71200,74100,71900,292591,71900
2022-06-16,73000,71000,72600,71200,214394,71200
2022-06-17,72200,69000,69000,71300,215760,71300
2022-06-20,72100,68600,71500,69500,178292,69500
2022-06-21,72900,69600,71000,71400,163391,71400
2022-06-22,71600,69100,71500,69300,144023,69300
2022-06-23,71600,68700,69300,69600,232387,69600
2022-06-24,72900,69500,69700,72800,145970,72800
2022-06-27,73000,70200,72200,71600,160891,71600
2022-06-28,72500,71100,71600,72200,100749,72200
2022-06-29,72200,69600,71300,70300,179231,70300
2022-06-30,70300,68400,70100,68900,155033,68900
2022-07-01,70300,66100,70200,67400,250735,67400
2022-07-04,69500,66200,67400,68200,216712,68200
2022-07-05,69700,67800,68200,68900,143544,68900
2022-07-06,70000,66600,67000,68200,198716,68200
2022-07-07,70000,68400,69500,69000,145185,69000
2022-07-08,70000,68400,68900,68700,151270,68700
2022-07-11,69400,67600,68600,67800,120001,67800
